iter	Passed	Remaining
0	0	82
1	1	75
2	2	72
3	2	68
4	3	68
5	4	67
6	5	67
7	5	66
8	6	65
9	7	65
10	7	64
11	8	63
12	9	63
13	10	62
14	10	61
15	11	60
16	12	59
17	12	59
18	13	58
19	14	57
20	15	56
21	15	55
22	16	55
23	17	54
24	17	53
25	18	52
26	19	52
27	19	51
28	20	50
29	21	49
30	22	49
31	22	48
32	23	47
33	24	46
34	24	45
35	25	45
36	26	44
37	26	43
38	27	42
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	37
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	42	26
61	42	26
62	43	25
63	44	24
64	44	24
65	45	23
66	46	22
67	46	22
68	47	21
69	48	20
70	49	20
71	49	19
72	50	18
73	51	18
74	52	17
75	52	16
76	53	16
77	54	15
78	54	14
79	55	13
80	56	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	9
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	64	4
93	64	4
94	65	3
95	66	2
96	66	2
97	67	1
98	68	0
99	68	0
