iter	Passed	Remaining
0	109	109464
1	111	55454
2	112	37441
3	114	28528
4	116	23144
5	117	19509
6	119	16913
7	120	14983
8	122	13467
9	123	12244
10	125	11248
11	126	10440
12	128	9750
13	130	9165
14	131	8651
15	133	8214
16	135	7808
17	136	7439
18	137	7112
19	139	6829
20	141	6576
21	142	6341
22	144	6123
23	145	5931
24	147	5751
25	149	5585
26	150	5432
27	152	5289
28	154	5157
29	155	5030
30	157	4915
31	158	4804
32	160	4697
33	161	4596
34	163	4504
35	165	4422
36	166	4334
37	167	4252
38	169	4176
39	171	4109
40	172	4040
41	174	3974
42	175	3911
43	177	3853
44	179	3800
45	180	3749
46	182	3698
47	184	3656
48	185	3606
49	187	3560
50	189	3520
51	190	3479
52	192	3437
53	193	3394
54	195	3360
55	197	3322
56	198	3286
57	199	3247
58	201	3217
59	203	3187
60	204	3152
61	206	3118
62	208	3095
63	209	3070
64	211	3042
65	212	3013
66	214	2985
67	215	2958
68	217	2932
69	218	2906
70	220	2882
71	222	2866
72	223	2841
73	225	2817
74	227	2799
75	228	2780
76	229	2756
77	231	2734
78	233	2716
79	234	2698
80	236	2677
81	237	2661
82	238	2636
83	240	2620
84	241	2604
85	243	2586
86	245	2573
87	246	2558
88	248	2543
89	250	2529
90	251	2516
91	253	2504
92	255	2491
93	257	2478
94	259	2467
95	260	2457
96	263	2449
97	265	2439
98	266	2429
99	268	2420
100	270	2411
101	272	2401
102	274	2390
103	276	2378
104	277	2369
105	279	2361
106	281	2352
107	283	2343
108	285	2335
109	287	2328
110	289	2320
111	291	2311
112	293	2300
113	294	2291
114	296	2282
115	298	2276
116	300	2267
117	302	2261
118	304	2252
119	305	2243
120	307	2234
121	309	2224
122	310	2214
123	312	2205
124	313	2196
125	315	2191
126	317	2182
127	319	2177
128	321	2171
129	323	2165
130	325	2158
131	327	2150
132	329	2145
133	331	2143
134	333	2137
135	335	2129
136	336	2122
137	338	2115
138	340	2107
139	342	2102
140	344	2096
141	345	2086
142	347	2080
143	348	2073
144	350	2067
145	352	2061
146	353	2052
147	355	2046
148	357	2040
149	358	2032
150	360	2026
151	362	2019
152	363	2013
153	365	2007
154	366	2000
155	368	1996
156	370	1990
157	372	1985
158	374	1982
159	377	1979
160	378	1972
161	380	1967
162	382	1961
163	383	1955
164	385	1948
165	386	1943
166	388	1938
167	390	1933
168	392	1929
169	394	1926
170	396	1923
171	398	1919
172	400	1914
173	402	1910
174	404	1906
175	406	1901
176	408	1897
177	410	1893
178	411	1889
179	413	1885
180	415	1879
181	417	1875
182	419	1871
183	421	1867
184	422	1861
185	424	1858
186	426	1853
187	428	1848
188	430	1846
189	433	1846
190	435	1842
191	436	1837
192	438	1831
193	439	1827
194	441	1824
195	443	1819
196	445	1816
197	447	1812
198	449	1807
199	450	1803
200	452	1799
201	454	1794
202	455	1788
203	457	1783
204	458	1779
205	460	1774
206	461	1768
207	463	1764
208	464	1759
209	466	1753
210	467	1748
211	468	1743
212	470	1739
213	472	1734
214	473	1729
215	475	1725
216	477	1721
217	478	1717
218	480	1712
219	481	1707
220	483	1703
221	484	1698
222	486	1693
223	487	1688
224	489	1684
225	490	1680
226	492	1675
227	493	1670
228	494	1666
229	496	1662
230	498	1658
231	499	1653
232	501	1649
233	502	1645
234	504	1641
235	505	1636
236	507	1632
237	508	1628
238	509	1623
239	511	1619
240	512	1615
241	514	1611
242	516	1607
243	517	1603
244	519	1599
245	520	1595
246	522	1591
247	523	1587
248	524	1582
249	526	1579
250	528	1575
251	529	1571
252	530	1567
253	532	1563
254	534	1561
255	536	1557
256	537	1554
257	539	1550
258	541	1548
259	542	1544
260	544	1540
261	546	1538
262	548	1535
263	549	1532
264	551	1528
265	552	1525
266	554	1522
267	555	1517
268	557	1514
269	559	1511
270	560	1508
271	562	1504
272	564	1502
273	566	1499
274	567	1496
275	569	1494
276	571	1492
277	573	1489
278	575	1486
279	576	1483
280	578	1480
281	579	1476
282	581	1473
283	583	1470
284	584	1466
285	586	1463
286	587	1459
287	589	1456
288	590	1453
289	592	1449
290	593	1445
291	595	1442
292	596	1439
293	598	1436
294	599	1432
295	601	1430
296	603	1427
297	604	1424
298	605	1420
299	607	1417
300	609	1414
301	610	1411
302	612	1408
303	613	1405
304	615	1402
305	617	1399
306	618	1396
307	620	1393
308	621	1390
309	623	1387
310	624	1383
311	626	1381
312	627	1378
313	629	1375
314	631	1373
315	632	1370
316	634	1367
317	636	1364
318	637	1361
319	639	1358
320	640	1355
321	642	1352
322	643	1348
323	645	1346
324	646	1343
325	648	1341
326	650	1338
327	651	1335
328	653	1332
329	655	1330
330	656	1327
331	658	1325
332	660	1322
333	661	1318
334	663	1316
335	664	1313
336	666	1310
337	667	1307
338	669	1304
339	670	1302
340	672	1299
341	673	1295
342	674	1292
343	676	1290
344	678	1287
345	679	1284
346	681	1281
347	682	1279
348	684	1276
349	685	1273
350	687	1271
351	689	1269
352	691	1266
353	692	1263
354	693	1260
355	695	1258
356	697	1255
357	698	1252
358	699	1249
359	701	1247
360	703	1244
361	704	1241
362	705	1238
363	707	1235
364	709	1233
365	710	1230
366	711	1227
367	713	1225
368	715	1222
369	716	1220
370	717	1217
371	719	1214
372	721	1212
373	723	1210
374	724	1207
375	726	1205
376	728	1203
377	730	1201
378	731	1198
379	733	1196
380	735	1194
381	736	1192
382	738	1189
383	740	1187
384	742	1185
385	743	1182
386	745	1180
387	747	1178
388	748	1176
389	750	1173
390	752	1171
391	753	1169
392	755	1166
393	757	1164
394	758	1162
395	760	1159
396	761	1157
397	763	1155
398	765	1153
399	767	1150
400	768	1148
401	770	1146
402	772	1143
403	773	1140
404	774	1138
405	776	1136
406	778	1134
407	779	1131
408	781	1129
409	783	1126
410	784	1124
411	786	1121
412	787	1119
413	789	1117
414	791	1115
415	792	1112
416	794	1110
417	796	1108
418	798	1106
419	799	1104
420	801	1102
421	803	1100
422	805	1098
423	807	1096
424	810	1095
425	811	1093
426	813	1091
427	815	1090
428	817	1088
429	819	1085
430	820	1083
431	822	1081
432	824	1079
433	826	1077
434	828	1075
435	829	1073
436	831	1070
437	833	1069
438	834	1066
439	836	1064
440	837	1061
441	839	1059
442	841	1057
443	842	1055
444	844	1053
445	846	1051
446	848	1049
447	850	1047
448	851	1045
449	853	1043
450	855	1041
451	857	1039
452	859	1037
453	860	1034
454	862	1032
455	863	1030
456	865	1028
457	867	1026
458	869	1024
459	870	1022
460	872	1020
461	874	1017
462	875	1015
463	877	1013
464	879	1011
465	880	1009
466	883	1007
467	884	1005
468	886	1003
469	888	1001
470	889	999
471	891	997
472	892	994
473	894	992
474	896	990
475	897	988
476	898	985
477	900	983
478	901	980
479	903	978
480	904	975
481	906	973
482	907	971
483	908	968
484	910	966
485	911	964
486	913	961
487	914	959
488	916	957
489	917	954
490	918	952
491	920	950
492	921	948
493	923	945
494	924	943
495	926	941
496	927	938
497	928	936
498	930	934
499	932	932
500	933	930
501	935	927
502	936	925
503	938	923
504	939	920
505	941	918
506	942	916
507	944	914
508	946	912
509	947	910
510	949	908
511	950	905
512	952	903
513	953	901
514	954	899
515	956	897
